Date,Open,High,Low,Close,Volume
29-12-20,12965.3887,12973.332,12821.9648,12850.2207,4328776738
30-12-20,12906.5078,12924.9316,12857.7559,12870.002,4979665081
31-12-20,12877.0938,12902.0732,12821.2285,12888.2822,4440567909
04-01-21,12958.5225,12958.7246,12543.2412,12698.4473,5995077850
05-01-21,12665.6523,12828.2666,12665.6475,12818.96,6445955896
06-01-21,12666.1514,12909.6279,12649.9893,12740.7939,7019974379
07-01-21,12867.3428,13090.9111,12867.3428,13067.4795,6271225493
08-01-21,13160.2158,13208.0898,13036.5459,13201.9756,6619667178
11-01-21,13048.7764,13138.2676,12999.5137,13036.4307,6411867775
12-01-21,13062.0625,13105.04,12963.917,13072.4336,6600411983
13-01-21,13088.0127,13171.1455,13051.0645,13128.9512,6545319907
14-01-21,13174.7549,13220.1562,13098.4141,13112.6377,6021022279
15-01-21,13099.8955,13139.832,12949.7617,12998.502,5753666974
19-01-21,13132.7275,13206.8604,13078.7002,13197.1797,5704699919
20-01-21,13342.5479,13486.1338,13329.7666,13457.248,6288916671
21-01-21,13521.4766,13560.3506,13454.0742,13530.915,6737227416
22-01-21,13474.8057,13567.1387,13463.6602,13543.0615,5489645855
25-01-21,13681.2109,13728.9834,13368.6797,13635.9922,6592653337
26-01-21,13681.7168,13702.6885,13603.1904,13626.0645,6221848758
27-01-21,13486.5762,13538.416,13192.9131,13270.5977,10201075832
28-01-21,13323.2949,13507.6426,13316.5234,13337.1582,9178836985
29-01-21,13284.7188,13322.002,12985.0518,13070.6943,7196767530
01-02-21,13226.1777,13431.458,13132.4717,13403.3945,6426748792
02-02-21,13543.1025,13652.6953,13535.8633,13612.7773,6753545068
03-02-21,13718.3145,13723.832,13585.3428,13610.543,6983081457
04-02-21,13674.0596,13778.4189,13631.6172,13777.7432,6734746255
05-02-21,13824.8779,13878.1562,13761.6641,13856.2959,6119059720
08-02-21,13937.0596,13987.7393,13894.1465,13987.6416,7904898724
09-02-21,13966.8154,14044.9463,13966.5537,14007.6973,8146361584
10-02-21,14093.3477,14109.1172,13845.4688,13972.5342,9862778674
11-02-21,14045.2139,14058.9131,13916.8457,14025.7744,10213394915
12-02-21,13979.2129,14102.042,13937.7148,14095.4736,6834589848
16-02-21,14152.2148,14175.1152,13995.4473,14047.499,7116921818
17-02-21,13911.6494,13976.4326,13804.2588,13965.4951,6677794770
18-02-21,13814.666,13905.957,13714.3486,13865.3555,5949490634
19-02-21,13929.2002,13985.5762,13842.5957,13874.4629,6210737717
22-02-21,13714.2021,13757.0605,13530.9609,13533.0479,5890023594
23-02-21,13262.6074,13526.0918,13003.9805,13465.1982,6635322433
24-02-21,13400.2539,13607.3604,13286.5879,13597.9658,4983288592
25-02-21,13512.6367,13602.8564,13066.3828,13119.4307,5456710002
26-02-21,13232.9014,13368.0615,13024.5312,13192.3438,4965035343
01-03-21,13406.1621,13596.5898,13362.6582,13588.8281,4504297597
02-03-21,13599.4492,13601.3311,13351.9951,13358.7871,4356114103
03-03-21,13336.25,13372.5166,12995.0684,12997.752,4821939867
04-03-21,12953.9863,13068.7109,12553.9629,12723.4717,6661217366
05-03-21,12860.0391,12941.2148,12397.0537,12920.1475,6698341114
08-03-21,12904.2637,13000.9951,12599.2305,12609.1611,5243529260
09-03-21,12923.0713,13151.5391,12882.4932,13073.8242,5612549869
10-03-21,13234.7334,13277.1055,13035.4404,13068.832,5370519219
11-03-21,13273.3105,13433.6191,13246.3252,13398.6729,5369304718
12-03-21,13222.8135,13324.6943,13158.7178,13319.8643,4938322579
15-03-21,13323.4717,13460.3496,13272.499,13459.708,5483824460
16-03-21,13523.1729,13620.7109,13397.085,13471.5674,4926853944
17-03-21,13336.915,13595.001,13272.6885,13525.2021,4855550865
18-03-21,13349.2031,13384.4561,13101.9248,13116.168,5099967617
19-03-21,13119.9014,13252.3721,13039.4531,13215.2354,6815212735
22-03-21,13278.7822,13455.6436,13278.7822,13377.542,4769658375
23-03-21,13381.4346,13405.1445,13202.4277,13227.6973,4966197524
24-03-21,13289.2422,13292.917,12961.3516,12961.8896,5524396964
25-03-21,12844.582,13021.8643,12786.8066,12977.6797,4922584699
26-03-21,12996.0264,13149.5518,12878.7227,13138.7246,4618521078
29-03-21,13103.9717,13143.4092,12968.1592,13059.6465,4341130333
30-03-21,13008.8037,13075.75,12922.5723,13045.3945,4195675213
31-03-21,13122.5732,13325.5371,13118.3809,13246.8711,4426764872
01-04-21,13414.3242,13487.0752,13404.1777,13480.1055,4032066895
05-04-21,13594.8984,13720.5801,13582.7559,13705.5928,4034744502
06-04-21,13681.6709,13776.71,13674.2793,13698.3799,3610212672
07-04-21,13675.2959,13733.0303,13653.585,13688.8418,3677818428
08-04-21,13796.8926,13830.1406,13758.709,13829.3096,3758677675
09-04-21,13787.0146,13905.4131,13748.3486,13900.1855,3505253286
12-04-21,13854.4375,13876.998,13783.9463,13849.999,3889748171
13-04-21,13902.4473,14011.5088,13902.4473,13996.0986,3806589902
14-04-21,14004.0762,14033.6318,13839.042,13857.8398,3585241005
15-04-21,13983.2266,14049.1299,13970.416,14038.7637,3920822240
16-04-21,14059.1143,14062.4951,13977.0488,14052.3418,3985152247
19-04-21,13984.583,14041.7861,13842.5723,13914.7656,3905232479
20-04-21,13894.458,13927.6719,13698.668,13786.2686,3794850462
21-04-21,13745.7715,13951.3506,13706.8574,13950.2188,3546452061
22-04-21,13952.5664,14015.873,13771.0391,13818.4131,3926495073
23-04-21,13861.3662,14062.7363,13856.8281,14016.8076,3957798197
26-04-21,14052.3828,14154.0293,14019.501,14138.7754,4120627986
27-04-21,14170.9141,14171.2422,14064.2773,14090.2158,4174487786
28-04-21,14082.7812,14133.6543,14034.7041,14051.0303,4081419846
29-04-21,14204.5146,14211.5723,13952.7969,14082.5459,4414474707
30-04-21,13970.7295,14084.7578,13941.6279,13962.6816,4359953042
03-05-21,14031.7734,14042.124,13881.5088,13895.1182,4292299965
04-05-21,13774.5068,13795.5654,13485.5879,13633.5029,5279607668
05-05-21,13731.1289,13753.0508,13553.9307,13582.4248,4115251424
06-05-21,13557.8252,13635.7344,13439.3887,13632.8418,4517328274
07-05-21,13723.0908,13828.6162,13690.749,13752.2363,3883263978
10-05-21,13687.5947,13687.9297,13401.7451,13401.8574,4323039175
11-05-21,13115.8535,13423.3066,13107.6729,13389.4258,4148268717
12-05-21,13215.4932,13288.6094,13002.5352,13031.6807,4063486853
13-05-21,13150.9365,13247.873,13007.2402,13124.9883,4162165124
14-05-21,13255.6445,13460.8838,13242.9658,13429.9785,3600658910
17-05-21,13368.8027,13399.1719,13265.3965,13379.0479,3591970817
18-05-21,13416.8965,13485.3447,13299.9248,13303.6357,3906273743
19-05-21,13078.1855,13304.6055,13072.2334,13299.7373,3799511110
20-05-21,13356.6289,13563.5176,13355.7129,13535.7393,3543224258
21-05-21,13616.1865,13616.5771,13463.2646,13470.9922,3312410205
24-05-21,13557.2119,13708.8457,13551.0078,13661.1699,3192467465
25-05-21,13721.543,13751.1367,13631.8018,13657.1738,3736996752
26-05-21,13693.9365,13750.1572,13679.5889,13737.9951,3840817014
27-05-21,13742.585,13776.5166,13701.625,13736.2754,4661034884
28-05-21,13792.0479,13820.873,13747.6104,13748.7383,4085338452
01-06-21,13829.0547,13836.1729,13678.7656,13736.4775,3775876950
02-06-21,13743.2422,13775.8926,13689.7363,13756.3271,4710132548
03-06-21,13655.7461,13684.1328,13548.9287,13614.5068,4995828514
04-06-21,13697.249,13826.8232,13692.0088,13814.4893,3967839229
07-06-21,13802.8203,13889.1113,13784.8906,13881.7207,4273616387
08-06-21,13946.3232,13981.7168,13831.9814,13924.9111,5453472948
09-06-21,13980.2305,14003.501,13906.4502,13911.75,5236339791
10-06-21,13933.8809,14031.1914,13904.3984,14020.333,4423407917
11-06-21,14030.8506,14069.4238,14006.5918,14069.4238,3807703562
14-06-21,14083.4678,14175.4521,14056.6699,14174.1436,4046675156
15-06-21,14166.6367,14171.0205,14052.1572,14072.8564,4135921966
16-06-21,14085.5508,14129.6875,13903.7324,14039.6836,4162148515
17-06-21,13999.126,14196.21,13998.9297,14161.3506,3999536772
18-06-21,14096.9297,14129.2158,14009.0352,14030.376,5539358140
21-06-21,14047.4229,14150.7764,13960.041,14141.4805,4119601110
22-06-21,14138.29,14269.7656,14121.002,14253.2686,4000495949
23-06-21,14263.3818,14317.6621,14246.2998,14271.7324,4014846558
24-06-21,14357.2656,14414.458,14333.6982,14369.709,3908285494
25-06-21,14400.8066,14409.0811,14337.6523,14360.3877,6640293162
28-06-21,14417.8105,14505.1914,14417.2031,14500.5078,3818074287
29-06-21,14509.1895,14535.9688,14471.3809,14528.335,4449919946
30-06-21,14509.8525,14526.8076,14478.0566,14503.9531,4411865488
01-07-21,14493.6904,14533.5449,14439.3965,14522.376,3909489889
02-07-21,14582.9834,14649.1084,14555.3359,14639.3252,3403667046
06-07-21,14661.5479,14686.999,14529.8008,14663.6406,4033323311
07-07-21,14753.415,14755.3311,14580.7949,14665.0635,4170413429
08-07-21,14409.1982,14610.0635,14371.5938,14559.7852,4075564430
09-07-21,14578.4277,14710.1982,14552.2607,14701.9189,3465368225
12-07-21,14743.8594,14761.0811,14672.6309,14733.2393,3510333955
13-07-21,14715.1328,14803.6758,14660.1904,14677.6533,4079298230
14-07-21,14780.8994,14790.5479,14632.9482,14644.9521,3849968982
15-07-21,14635.7812,14650.375,14451.8027,14543.1338,3990204082
16-07-21,14597.5078,14623.0244,14413.3174,14427.2373,3631550635
19-07-21,14235.9834,14313.5957,14178.6572,14274.9844,3867666844
20-07-21,14330.4619,14555.748,14271.2266,14498.8779,4136477474
21-07-21,14508.7471,14633.1445,14498.6543,14631.9541,3675584872
22-07-21,14652.7236,14694.1904,14617.8711,14684.5967,3198047225
23-07-21,14753.0576,14846.0576,14698.7695,14836.9912,3485771155
26-07-21,14821.0303,14863.6465,14790.4883,14840.7129,3995948530
27-07-21,14807.9473,14811.0771,14503.7559,14660.5762,3808183264
28-07-21,14715.6641,14798.8799,14645.6348,14762.584,3784647106
29-07-21,14771.168,14833.7393,14761.3779,14778.2637,3458411284
30-07-21,14615.8516,14728.7852,14615.8516,14672.6777,3219479378
02-08-21,14758.6035,14770.4062,14665.6709,14681.0693,3342211723
03-08-21,14713.9951,14762.5986,14584.0869,14761.2949,3749463530
04-08-21,14747.2109,14812.374,14734.1201,14780.5332,3953203527
05-08-21,14794.084,14896.4746,14776.0312,14895.1172,3763069535
06-08-21,14864.2158,14890.1816,14788.5879,14835.7617,3794336293
09-08-21,14855.7549,14883.8076,14802.6914,14860.1768,3752425859
10-08-21,14887.7451,14894.6113,14754.4844,14788.0869,3611380154
